,Dining Hall,Meal Period,Station,Dish,Serving Size,Calories (kcal),Total Lipid/Fat (g),Saturated fatty acid (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrate (g),Total Dietary Fiber (g),Sugar (g),Added Sugar (g),Protein (g),Vitamin A (iu),Vitamin C (mg),Calcium (mg),Iron (mg),Vitamin A (rae),Phosphorus (mg),Potassium (mg),Vitamin D(iu),Allergens,Ingredients
Frank_Dinner_Tom Kha Gai Soup/BM,Frank,Dinner,Soup Station,Tom Kha Gai Soup/BM,250.00 BM,245.22,15.3,10.26,0,27.93,372.75,14.39,3.29,3.77,NA,12.13,1069.47,15.67,39.15,1.96,240.96,13.57,N/A,N/A,Fish,"Coconut Milk (Coconut Extract, Water, Citric Acid, Sodium Metabisulfite (Preservative).), Water, Chicken Breast Skinless, Cilantro, Shiitake Mushroom, Green Bell Pepper, Bamboo Shoots, Water, Ginger, Garlic, Shallots, Jalapeno, Chili, Salt, Distilled Vinegar, Potassium Sorbate And Sodium Bisulfite, As Preservatives And Xanthan Gum Contains Sulfite, Chicken Meat Including Natural Juices, Salt, Cane Sugar, Maltodextrin, Flavoring, Yeast Extract, Potato Starch, Turmeric, Natural Flavor, Anchovy Extract(70%), Salt, Sugar, Flavor Enhancer Monosodium Glutamate, Brown Sugar, Lime Juice (Lime Juice From C"
Frank_Dinner_Deli Bar (description only),Frank,Dinner,Deli Bar,Deli Bar (description only),1.00 EA,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Frank_Dinner_Caprese Salad,Frank,Dinner,Salad Bar,Caprese Salad,85.00 HHP4,65.56,4.61,1.81,NA,9.89,248.88,2.39,0.64,1.42,NA,3.1,2396.33,5.75,89.86,0.37,53.67,0,N/A,N/A,Milk,"Mescaline Spring Mix, Tomato, Rice Bran Oil, Extra Virgin Olive Oil, Avocado Oil, Grapeseed Oil, Cultured Pasteurized Milk, Enzymes, Salt, Balsamic Vinegar, Basil, Kosher Salt"
Frank_Dinner_Oreo Rice Krispy Bar,Frank,Dinner,Desserts,Oreo Rice Krispy Bar,60.00 EA,266.92,8.71,4.64,NA,11.29,125.88,44.33,0.91,23.39,NA,1.98,133.54,3.78,68.11,2.76,0,0,N/A,N/A,"Milk, Soy, Wheat","Marshmallos (Corn Syrup, Sugar, Modified Food Starch (Corn),Dextrose, Water, Gelatin, Natural and Artificial Flavor, Tetrasodium Pyrophosphate.Contains: Gelatin);Oreao Cookie Crumbs (Sugar, Unbleached Enriched Flour (Wheat Flour, Niacin, Reduced Iron, Thiamine Mononitrate Vitamin B1, Riboflavin Vitamin B2, Folic Acid), High Oleic Canola And/Or Palm Oil, Cocoa (Processed With Alkali), High Fructose Corn Syrup, Cornstarch, Leavening (Baking Soda And/Or Calcium Phosphate), Salt, Soy Lecithin, Vanillin - An Artificial Flavor, Chocolate.);Rice, sugar, contains 2% or less of salt, malt flavor.Vitami"
Frank_Dinner_Brownie (BASE),Frank,Dinner,Desserts,Brownie (BASE),51.00 PCE,225.02,12.25,1.98,0.04,30.66,36.61,28.03,0.93,20.46,NA,2.54,44.5,0.2,22.77,0.92,8.3,0,N/A,N/A,"Egg, Soy, Wheat","Cane Sugar;Canola Oil;Egg;All Purpose Flour (Bleached Wheat Flour, Malted Barley Flour, Niacin, Iron, Thiamin Mononitrate, Riboflavin, Folic Acid);Sugar, chocolate liquor, cocoa butter, soya lecithin (an emulsifier), vanilla extract.;Natural Process Cocoa;Water, Sugar, Propylene Glycol, Vanillin, Caramel Color, Potassium Sorbate, Citric Acid and Ethyl Vanillin.;Iodized Salt;"
Frank_Dinner_Vegan Coconut Cake,Frank,Dinner,Desserts,Vegan Coconut Cake,85.00 SHEE,255.35,9.36,4.63,NA,NA,278.4,41.3,1.24,35.53,NA,1.08,36.8,NA,0.99,0.23,5.49,0,N/A,N/A,"Soy, Wheat","Cane Sugar, Soy Milk (Filtered Water, Organic Whole Soybeans, Organic Naturally Milled Evaporated Cane Juice, Calcium Carbonate, Salt, Organic Vanilla Flavor, Vitamin A Palmitate, Carrageenan, Riboflavin (B2), Vitamin D2, Vitamin B12), Coconut, Sugar, Water, Propylene Glycol, Salt, Sodium Metabisulfite, Sugar, Cornstarch, Rice Bran Oil, Extra Virgin Olive Oil, Avocado Oil, Grapeseed Oil, All Purpose Flour (Bleached Wheat Flour, Malted Barley Flour, Niacin, Iron, Thiamin Mononitrate, Riboflavin, Folic Acid), Partially Hydrogenated Soybean And Cottonseed Oils, Mono- And Diglycerides, Water, Alcohol (21%), Propyle"
Frary_Breakfast_Scrambled Eggs,Frary,Breakfast,Mainline,Scrambled Eggs,85.05 SHT4,117.65,7.55,2.73,0,301.16,115.15,0,0,0,NA,10.63,531.45,NA,70.86,1.92,0,0,N/A,N/A,Egg,"Cage Free Whole Eggs, Citric Acid, 0,15% Water Added As Carrier For Citric Acid, Citric Acid Added To Preserve Color, Rice Bran Oil, Extra Virgin Olive Oil, Avocado Oil, Grapeseed Oil"
Frary_Breakfast_Scrambled Egg Whites,Frary,Breakfast,Mainline,Scrambled Egg Whites,85.00 SHT4,46.2,0,0,0,0,147.82,0,0,0,NA,9.24,0,0,0,0,0,0,N/A,N/A,Egg,"Egg Whites, Triethyl Citrate Added As A Whipping Agent"
Frary_Breakfast_Beyond Breafast Sausage (Coop),Frary,Breakfast,Mainline,Beyond Breafast Sausage (Coop),47.00 EA,130,10,4,0,0,210,1,1,0,NA,9,NA,NA,20,NA,105,NA,N/A,N/A,,"Water, Pea Protein, Expeller-Pressed Canola Oil, Refined Coconut Oil, Natural Flavors, Inactivated Yeast, Rice Protein, Methylcellulose, Yeast Extract niacin (Vitamin B3), pyridoxine hydrochloride (Vitamin B6), thiamin hydrochloride (Vitamin B1), riboflavin (Vitamin B2), folic acid (Vitamin B9), cyanocobalamin (Vitamin B12), Apple Extract, Salt, Pomegranate Extract, Vinegar, Lemon Juice Concentrate, Sunflower Lecithin, Beet Juice Extract (for color), Carrot."
Frary_Breakfast_Polenta Scramble with Oat Milk,Frary,Breakfast,Mainline,Polenta Scramble with Oat Milk,85.00 FHP2,63.37,0.69,0.04,NA,0,172.97,12.97,1.08,2.82,NA,1.49,1148.08,8.09,23.17,0.59,24.01,0,N/A,N/A,Soy,"Water, Organic Oats, Organic Oat Bran, Contains 1% Or Less Of Gellan Gum, Sea Salt, Tricalcium Phosphate, Vitamin D2, Water, Degermed Yellow Cornmeal, Eggplant, Carrot, Parsley, Red Bell Pepper, Rice Bran Oil, Extra Virgin Olive Oil, Avocado Oil, Grapeseed Oil, Kosher Salt, Vegetables And Vegetable Juice Concentrate (Carrots, Celery, Onion, Tomato) Salt, Soy Sauce (Water, Soybeans, Salt, Alcohol), Cane Sugar, Maltodextrin, Yeast Extract, Potato Starch, Onion Powder, Garlic Powder, Spice, Black Pepper"
Frary_Breakfast_Tomato Spinach Scramble,Frary,Breakfast,Mainline,Tomato Spinach Scramble,85.00 FHP2,94.35,5.75,2.11,NA,235.95,152.26,0.87,0.33,0.42,NA,8.61,986.1,4.28,62.77,1.71,22.28,0,N/A,N/A,Egg,"Cage Free Whole Eggs, Citric Acid, 0.15% Water Added As Carrier For Citric Acid (Citric Acid Added To Preserve Color), Tomato, Spinach, Rice Bran Oil, Extra Virgin Olive Oil, Avocado Oil, Grapeseed Oil, Parsley, Kosher Salt, Black Pepper"
Frary_Breakfast_Hard Boiled Eggs,Frary,Breakfast,Mainline,Hard Boiled Eggs,44.00 FHP2,62.92,4.18,1.38,0.02,163.68,62.48,0.32,0,0.16,NA,5.53,237.6,0,24.64,0.77,0,0,N/A,N/A,Egg,Egg
Frary_Breakfast_Home Fries,Frary,Breakfast,Mainline,Home Fries,85.00 FHP2,131.01,5.43,3.45,0,14.79,280.4,19.01,1.62,0.95,NA,1.59,197.9,7,6.93,0.3,0,0,N/A,N/A,Milk,"Potato, Unsalted Butter (Pasteurized Cream), Seasoned Salt (Salt, Sugar, Maltodextrin, Chili Pepper, Onion, Garlic, Spices (Including Red Pepper), Spice And Coloring, Extractives Of Paprika, And Natural Flavor), Black Pepper"
Frary_Breakfast_OMELET BAR/description,Frary,Breakfast,Expo Station,OMELET BAR/description,219.77 EA,503.93,38.17,15.09,0.02,572.15,885.25,2.41,0,0.6,NA,36.55,1364.75,0,439.53,3.4,0,0,N/A,N/A,"Egg, Milk","Cage Free Whole Eggs, Citric Acid, 0.15% Water Added As Carrier For Citric Acid, Citric Acid Added To Preserve Color, Mild Cheddar Cheese (Cultured Pasteurized Milk, Salt, Enzymes, Annatto (Color)), Corn Starch, Potato Starch And Powdered Cellulose (To Prevent Caking), Natamycin (Natural Mold Inhibitor), Smoked Ham (Solution Ingredients: Water, Salt, Turbinado Sugar, Natural Flavor, Lactic Acid Starter Culture (Not From Milk)), Turkey Breast, Turkey Broth, Honey, Salt, Brown Sugar, Potassium Lactate, Sodium Phosphate, Sodium Diacetate, Sodium Erythorbate, Sodium Nitrite, Pork Cured With Water, Salt, Sugar, Sodium Phosphates, Sodium Erythorbate, Sodium Nitrite, May Contain Honey, Canola Oil"
Frary_Breakfast_Fried Egg,Frary,Breakfast,Expo Station,Fried Egg,44.00 EA,62.92,4.18,1.38,0.02,163.68,62.48,0.32,0,0.16,NA,5.53,237.6,0,24.64,0.77,0,0,N/A,N/A,Egg,Egg
Frary_Breakfast_Huevos Rancheros,Frary,Breakfast,Grill Station,Huevos Rancheros,170.00 FHP2,214.08,8.9,3.35,0.08,165.73,331.68,28.79,10.33,2.71,NA,13.94,667.83,8.54,66.53,3.31,3.14,0,N/A,N/A,"Egg, Milk","Tomato, Egg, Corn Tortilla (Corn Masa Flour, Water, Contains 2% Or Less Of: Cellulose Gum, Guar Gum, Amylase, And Propionic Acid And Benzoic Acid (To Maintain Freshness), Pinto Beans, Cultured Pasteurized Grade A Milk And Skim Milk, Sea Salt And Enzymes, White Onion, Rice Bran Oil, Extra Virgin Olive Oil, Avocado Oil, Grapeseed Oil, Jalapeno, Garlic, Kosher Salt, White Pepper, Dried Oregano, Cumin, Black Pepper"
Frary_Breakfast_Gluten Free Oatmeal/GAL,Frary,Breakfast,Soup Station,Gluten Free Oatmeal/GAL,234.45 GAL,214.89,3.7,0.63,NA,0,10.51,38.39,5.73,0.56,NA,7.46,0,0,34.82,2.41,0,0,N/A,N/A,,"Water, Whole Grain Oats"
Frary_Breakfast_Breakfast Salad Bar,Frary,Breakfast,Salad Bar,Breakfast Salad Bar,1.00 EA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.23E-09,1.23E-09,N/A,N/A,,
Frary_Breakfast_Assorted Breakfast Desserts/NO NUTS,Frary,Breakfast,Desserts,Assorted Breakfast Desserts/NO NUTS,1.00 EA,17.5001,0.75,0.1875,0,0.625125,14.3749,2.625,0,1.37512,NA,0.124875,NA,0,0,0,4.61E-11,4.61E-11,N/A,N/A,"Egg, Milk, Soy, Wheat","May Contain Egg, Milk, Soy, Tree Nut (Coconut), Wheat and/or Gelatin"
Frary_Breakfast_Assorted Muffins,Frary,Breakfast,Desserts,Assorted Muffins,1.00 EA,7697.5,864.75,672.188,0,0.625025,14.3726,2.62458,0,1.37491,NA,0.124855,NA,0,0,0,1.19E-08,1.19E-08,N/A,N/A,"Egg, Milk, Soy, Wheat","May Contain Egg, Milk, Soy, Tree Nut (Coconut), Wheat, Gelatin"
Frary_Breakfast_Buttermilk Coffee Cake,Frary,Breakfast,Desserts,Buttermilk Coffee Cake,117.00 SLCE,404.62,10.29,5.41,0,37.44,905.3,78.25,0.59,65.84,NA,2.54,278.36,0.12,459.33,1.58,13.17,0,N/A,N/A,"Egg, Milk, Soy, Wheat","Cane Sugar;Cultured Lowfat Milk, Salt, Modified Food Starch (Corn), Locust Bean Gum, Carrageenan, Sodium Citrate, Vitamin A Palmitate and Vitamin D3;All Purpose Flour (Bleached Wheat Flour, Malted Barley Flour, Niacin, Iron, Thiamin Mononitrate, Riboflavin, Folic Acid);Unsalted Butter (Pasteurized Cream);Baking Powder (Monocalcium Phosphate, Sodium Bicarbonate, Cornstarch).;Egg;Expeller-Pressed Natural Oil Blend (Soybean, Palm Fruit, Canola and Olive)., Filtered Water, Pure Salt, Natural Flavor (Derived from Corn, No MSG, No Alcohol, No Gluten), Soy Protein, Soy Lecithin, Lactic Acid (Derived From Sugar Beets), and Naturally Extracted Annatto for Color;Gluten Free Rolled Oats;Brown Sugar;Water, Sugar, Propylene Glycol, Vanillin, Caramel Color, Potassium Sorbate, Citric Acid and Ethyl Vanillin.;Iodized Salt;Cinnamon;"
Frary_Lunch_Swiss Steak,Frary,Lunch,Mainline,Swiss Steak,150.00 SERV,87.27,2.33,0.31,NA,0.88,413.42,12.83,0.87,1.96,NA,2.3,54.59,2.53,11.95,0.77,70.73,1.3,N/A,N/A,Wheat,"Water;Beef;Mushroom;White Onion;Rice Bran Oil, Extra Virgin Olive Oil, Avocado Oil, Grapeseed Oil;All Purpose Flour (Bleached Wheat Flour, Malted Barley Flour, Niacin, Iron, Thiamin Mononitrate, Riboflavin, Folic Acid);Wine, Salt, Contains 1% or less of each of the following: Malic Acid, Potassium Metabisulfite (preservative).;Beef Base (Roasted Beef And Natural Juices, Maltodextrin, Salt, Cane Sugar, Beef Stock, Beef Fat, Yeast Extract, Potato Starch, Celery Concentrate, Dried Garlic, Dried Onion, Caramel Color, Natural Flavor. Organic);Parsley;Kosher Salt;Black Pepper;Thyme;"
"Frary_Lunch_Vegan BBQ ""Beef"" Tips",Frary,Lunch,Mainline,"Vegan BBQ ""Beef"" Tips",85.05 FHP2,134.8,3.33,0.33,0,0,410.92,14.3,2,8.63,NA,11.99,99.61,1.79,26.65,1.98,0,0,N/A,N/A,"Soy, Wheat","Water, Vital Wheat Gluten, Soy Protein Isolate, Natural Flavors (From Plant Sources), Malted Barley Extract, Yeast Extract, Garlic Powder, Expeller Pressed/Canola Oil, Onion Powder, Organic Cane Sugar, Sea Salt, Pea Protein, Molasses, Carrot Fiber, Beetroot Fiber, Spices., High Fructose Corn Syrup, Distilled Vinegar, Tomato Paste, Modified Food Starch Contains 2% Or Less Of: Salt, Pineapple Juice Concentrate, Natural Smoke Flavor, Spices, Caramel Color, Sodium Benzoate As A Preservative, Molasses, Corn Syrup, Garlic, Sugar, Tamarind, Natural Flavor. Dried"
Frary_Lunch_Steamed Cauliflower,Frary,Lunch,Mainline,Steamed Cauliflower,8229.98 FHP2,2057.49,23.0439,4.93799,0,0,2468.99,409.03,164.6,157.193,NA,158.016,0,3966.85,1810.59,34.5659,24607.6,0,N/A,N/A,,Cauliflower;
Frary_Lunch_Steamed Carrots,Frary,Lunch,Mainline,Steamed Carrots,85.05 FHP2,34.87,0.2,0.03,0,0,58.68,8.15,2.38,4.03,NA,0.79,14208.44,5.02,28.07,0.26,272.16,0,N/A,N/A,,Carrots
Frary_Lunch_Vegan Garlic Mashed Potatoes,Frary,Lunch,Mainline,Vegan Garlic Mashed Potatoes,85.00 FHP2,106.37,5.49,1.69,NA,0,245.14,13.08,1.29,1.3,NA,1.59,5.61,6.63,11.01,0.57,5.65,0,N/A,N/A,Soy,"Red Potato, Expeller-Pressed Natural Oil Blend (Soybean, Palm Fruit, Canola And Olive)., Filtered Water, Pure Salt, Natural Flavor (Derived From Corn, No Msg, No Alcohol, No Gluten), Soy Protein, Soy Lecithin, Lactic Acid (Derived From Sugar Beets), And Naturally Extracted Annatto For Color, Water, Expeller Processed Natural Oil Blend (Soybean, Palm Fruit, And Olive), Maltodextrin, Non-GMO(Soy Protein, Tofu), Non-Dairy Lactic Acid, Organic Sugar, Blend Of Natural Gums (Locust Bean, Guar, Cellulose And Xanthan) And Salt., Water, Organic Oats, Organic Oat Bran, Contains 1% Or Less Of Gellan Gum, Sea Salt, Tricalcium Phosphate, Vitamin D2, Garlic, Kosher Salt, Canola Oil, Virgin Olive Oil, Beta-Carotene (Color)., White Pepper, Chives"
Frary_Lunch_Singapore Noodles with Shrimp and Pork,Frary,Lunch,Expo Station,Singapore Noodles with Shrimp and Pork,2557.49 FHP2,4179.61,214.626,33.0054,0.591908,1585.38,13897.2,352.767,51.456,64.1922,NA,174.631,5098.7,254.945,951.841,31.4732,522.004,3.15E-08,N/A,N/A,"Egg, Fish, Shellfish, Soy, Wheat, Sesame","Pho Noodle (Rice Potato Starch, Water, Soybean Oil), Pork, Egg, Green Bell Pepper, Scallions, Canola Oil, Snap Peas, White Onion, Soy Sauce (Water, Whole Soybeans (OCIA Certified), Salt, Alcohol (To Preserve Freshness), Sugar, Water, Soybeans, Salt, Sweet Potato, Modified Corn Starch, Sesame Seeds, Garlic, Wheat Flour, Chili Pepper, Spices, Caramel Color, Acetic Acid, FDC Red Color No. 40, Rice, Water, Salt, Caramel, Curry Powder, Anchovy Extract (70%), Salt, Sugar, Flavour Enhancer Monosodium Glutamate, Shrimp, Salt And Sodium Tripolyphosphate (To Retain Moisture), Garlic, Soybean Oil, Sesame Oil, Clover Honey, Cane Sugar, Kosher Salt, White Pepper, Ginger, Sesame Seed Oil, Brown Sugar, Chinese Five Spice (Anise, Cinnamon, Star Anise, Cloves, Ginger, Sulfiting Agents)"
Frary_Lunch_VEGAN BAR (name only),Frary,Lunch,Pizza,VEGAN BAR (name only),1.00 EA,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Frary_Lunch_Lemon Herb Tofu Steak,Frary,Lunch,Pizza,Lemon Herb Tofu Steak,85.00 FHP2,76.24,5.13,0.54,NA,NA,562.74,1.92,0.53,0.39,NA,7.09,40.38,0.82,133.78,1.47,1.4,0,N/A,N/A,Soy,"Tofu (Water, Soybeans, Calcium Sulfate);Rice Bran Oil, Extra Virgin Olive Oil, Avocado Oil, Grapeseed Oil;Apple Cider Vinegar (diluted with water to 5% acidity).;Salt, Citric Acid, Onion, Sugar, Spices (Including Oregano And Basil), Corn Maltodextrin, Torula Yeast, Sherry Wine Solids And Other Natural Flavors, FdC Yellow No. 5 Lake, Lemon Juice Solids, Natural And Artificial Flavors, Maltol (Flavor Enhancer), And Lemon Oil.;Lemon Juice;Montreal Steak Seasoning (Coarse Salt, Black Pepper, Red Pepper, Garlic, Sunflower Oil, Natural Flavor, Extractives of Paprika);Dried Oregano;Kosher Salt;Garlic;Black Pepper;Chili Pepper, Spices, Salt, Silicon Dioxide (Added To Make Free Flowing), and Garlic.;"
Frary_Lunch_Vegan Cutlet,Frary,Lunch,Pizza,Vegan Cutlet,85.05 FHP2,141.75,3.78,0.48,NA,0,245.7,17.01,4.73,0.94,NA,11.34,94.5,0,75.6,2.55,0,0,N/A,N/A,"Soy, Wheat","Water, soy protein concentrate, wheat gluten, torula yeast, cornmeal, breadcrumbs, onion powder, garlic powder, soy oil, natural spices, tapioca starch, bean flour, cellulose gum, carrageenan (seaweed).;"
Frary_Lunch_Steamed Basmati Rice,Frary,Lunch,Pizza,Steamed Basmati Rice,85.00 FHP2,94.24,0,0,NA,0,2.27,21.99,0,0,NA,1.89,0,0,1.7,0.68,0,0,N/A,N/A,,"Water, White Basmati Rice"
Frary_Lunch_Couscous/Cooked,Frary,Lunch,Pizza,Couscous/Cooked,85.05 QP2,102.1,2.61,0.38,NA,0,53.97,16.66,1.08,NA,NA,2.75,0,0,5.19,0.23,0,0,N/A,N/A,Wheat,"Couscous, Extra Virgin Olive Oil, Kosher Salt"
Frary_Lunch_Steamed Spinach,Frary,Lunch,Pizza,Steamed Spinach,85.00 FHP2,16.29,0.28,0.04,NA,0,55.96,2.57,1.56,0.3,NA,2.03,6642.04,19.9,70.12,1.92,395.25,0,N/A,N/A,,Spinach
Frary_Lunch_Tahini Sauce,Frary,Lunch,Pizza,Tahini Sauce,16.53 FO,11.2245,0.818526,0.129452,NA,0,59.9554,0.789108,0.0561206,0.289451,NA,0.322988,106.03,2.61247,2.93945,0.10217,1.5914,2.03E-10,N/A,N/A,Sesame,"Water;Lemon Juice;Pure Ground Sesame Seeds.;Parsley;Garlic;Cane Sugar;Kosher Salt;Garam Masala Spice Mixture (Peppercorns, Cloves, Cinnamon, Mace, Cardamom, Bay Leaf, Cumin);"
Frary_Lunch_Cheese Pizza,Frary,Lunch,Pizza,Cheese Pizza,78.00 PIZ,166.8,6.12,2.83,NA,17.57,495.3,19.28,1.24,1.53,NA,9.07,224.75,1.19,186.44,1.3,0,0,N/A,N/A,"Milk, Soy, Wheat","Pizza Dough (Enriched Unbleached Wheat Flour, Water, Yeast, High Fructose Corn Syrup, Salt, Soybean Oil, Wheat Gluten, Ascorbic Acid, Enzyme), Low Moisture Part Skim Mozzarella Cheese (Cultured Pasteurized Part Skim Milk, Skim Milk, Salt, Enzymes, Powdered Cellulose Added To Prevent Caking, Natamycin Preservative), Tomato Puree (Water, Tomato Paste), Less Than 2% Of: Salt, Extra Virgin Olive Oil, Dried Onions, Garlic, Spices, Citric Acid, Parmesan Cheese (Pasteurized Cow`s Milk, Cultures, Enzymes, Salt, Cellulose)"
Frary_Lunch_Pepperoni Pizza,Frary,Lunch,Pizza,Pepperoni Pizza,117.00 PIZ,252.57,10.19,4.28,0,27.71,761.15,28.63,1.86,2.24,NA,12.16,276.17,1.79,206.57,1.88,0,0,N/A,N/A,"Milk, Soy, Wheat","Pizza Dough (Enriched Unbleached Wheat Flour, Water, Yeast, High Fructose Corn Syrup, Salt, Soybean Oil, Wheat Gluten, Ascorbic Acid, Enzyme), Low Moisture Part Skim Mozzarella Cheese (Cultured Pasteurized Part Skim Milk, Skim Milk, Salt, Enzymes, Powdered Cellulose Added To Prevent Caking, Natamycin Preservative), Tomato Puree (Water, Tomato Paste), Less Than 2% Of: Salt, Extra Virgin Olive Oil, Dried Onions, Garlic, Spices, Citric Acid, Pork, Beef, Salt, Contains 2% Or Less Of Water, Spice, Seasoning (Cane Sugar, Celery Juice Powder), Seasoning (Extractives Of Paprika, Natural Spice Extractives), Lactic Acid Starter Culture, Mustard Present. No Nitrites Or Nitrates Added Except For Those Naturally Occurring In Natural Flavoring"
Frary_Lunch_Blackened Chicken Pizza with Spicy Remoulade,Frary,Lunch,Pizza,Blackened Chicken Pizza with Spicy Remoulade,113.00 PIZ,336.7,21,5.76,0,41.58,888.81,22.32,1.19,1.01,NA,14.25,428.85,1.89,168.16,1.52,5.48,0,N/A,N/A,"Egg, Milk, Soy, Wheat","Pizza Dough (Enriched Unbleached Wheat Flour, Water, Yeast, High Fructose Corn Syrup, Salt, Soybean Oil, Wheat Gluten, Ascorbic Acid, Enzyme), Low Moisture Part Skim Mozzarella Cheese (Cultured Pasteurized Part Skim Milk, Skim Milk, Salt, Enzymes, Powdered Cellulose Added To Prevent Caking, Natamycin Preservative), Chicken Breast Skinless, Mayonnaise (Soybean Oil, Vinegar, Eggs, Water, Salt, Egg Yolks, Sugar, Calcium Disodium EDTA (To Protect Flavor), Dried Garlic, Dried Onions, Natural Flavor.), Pork Cured With Water, Salt, Sugar, Sodium Phosphates, Sodium Erythorbate, Sodium Nitrite, May Contain Honey, Dijon Mustard (Water, Vinegar, Mustard Seed, Salt, White Wine, Fruit Pectin, Citric Acid, Tartaric Acid, Sugar, Spice), Scallions, Roasted Peppers, Water, Salt, Citric Acid, Dill Pickle Rounds (Cucumbers, Water, Vinegar, Salt, Contains Less Than 2% Of Calcium Chloride, Potassium Sorbate  (Preservative), Natural Flavors , Polysorbate 80, Yellow 5), Cilantro, Lemon Juice, Capers, Water, Vinegar, And Salt, Unsalted Butter (Pasteurized Cream), Kosher Salt, Paprika, Onion Powder, Horseradish, Distilled Vinegar, Water, Soybean Oil, Salt, And Artificial Flavor., Ground Cayenne Pepper, Distilled Vinegar, Red Pepper, Salt, Black Pepper, White Pepper, Thyme Leaves, Dried Oregano, Garlic, Garlic"
Frary_Lunch_Loco Moco,Frary,Lunch,Grill Station,Loco Moco,120.00 SERV,201.28,11.75,5.07,0.34,124.68,392.14,12.72,0.1,0.3,NA,9.97,230.9,0,22.89,1.35,3.5,0,N/A,N/A,"Egg, Milk, Wheat, Sesame","Water;Beef Patty;Egg;Calrose Rice;All Purpose Flour (Bleached Wheat Flour, Malted Barley Flour, Niacin, Iron, Thiamin Mononitrate, Riboflavin, Folic Acid);Unsalted Butter (Pasteurized Cream);Sesame Seed, Seaweed, Sugar, Salt, Yeast Extract;Beef Base (Roasted Beef And Natural Juices, Maltodextrin, Salt, Cane Sugar, Beef Stock, Beef Fat, Yeast Extract, Potato Starch, Celery Concentrate, Dried Garlic, Dried Onion, Caramel Color, Natural Flavor. Organic);Seasoned Salt (Salt, Sugar, Maltodextrin, Chili Pepper, Onion, Garlic, Spices (Including Red Pepper), Spice And Coloring, Extractives Of Paprika, And Natural Flavor.);Caramel Color, Water, Vegetable Broth (Carrot, Celery, Onion, Parsnips, Turnips), Spices, Citric Acid, Sodium Benzoate (less than 0.1 of 1% to preserve freshness).;Black Pepper;Garlic;"
Frary_Lunch_Beyond Burger Patty,Frary,Lunch,Grill Station,Beyond Burger Patty,113.00 EA,280,20,6,0,0,390,6,2,0,NA,20,NA,NA,NA,NA,NA,NA,N/A,N/A,,"Water, Pea Protein Isolate, Expeller-Pressed Canola Oil, Refined Coconut Oil, Rice Protein, Natural Flavors, Mung Bean Protein, Methylcellulose, Potato Starch, Apple Extract, Salt, Potassium Chloride, Vinegar, Lemon Juice Concentrate, Sunflower Lecithin, Beet Juice Extract (for color), Pomegranate Fruit Powder, Lycopene Color (from Tomato)"
Frary_Lunch_Bun/Hamburger/4.5in/2.7oz/EA,Frary,Lunch,Grill Station,Bun/Hamburger/4.5in/2.7oz/EA,76.00 EA,180,2.5,0,0,0,310,33,1,5,4,6,0,0,40,1.8,NA,NA,N/A,N/A,"Soy, Wheat, Sesame","Enriched Unbleached Wheat Flour (wheat Flour, Malted Barley Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin And Folic Acid), Water, Sugar, Yeast, Soybean Oil, Contains 2% Or Less Of Each Of The Following: Vital Wheat Gluten, Salt, Yeast Nutrient (ammonium Sulfate), Dough Conditioners (sodium Stearoyl Lactylate, Ascorbic Acid, Monocalcium Phosphate), Enzymes, Calcium Propionate (mold Inhibitor), Sesame Flour."
Frary_Lunch_Grilled Halal Chicken Breast,Frary,Lunch,Grill Station,Grilled Halal Chicken Breast,85.00 FHP2,217.02,16.69,3.64,0.02,62.42,178.61,0.26,0.05,0.04,NA,15.01,117.38,1.78,10.02,0.77,2.16,0,N/A,N/A,,"Halal Chicken Breast (May Contain Up To 2% Absorbed Water), Canola Oil, Lemon Juice, Kosher Salt, Black Pepper, Onion Powder, Garlic"
Frary_Lunch_Chicken  Gnocchi Soup,Frary,Lunch,Soup Station,Chicken  Gnocchi Soup,6566.42 BM,6258.08,451.442,264.6,0.0196527,1715.7,15618.2,390.449,24.28,37.2063,NA,69.6039,48694,47.3145,364.942,8.0482,818.796,8.08E-08,N/A,N/A,"Milk, Wheat","Water;Cream, Carrageenan, Mono and Diglycerides, Polysorbate 80. (Vegetarian);Gnocchi Pasta (35% Potato Puree (Reconstituted Potatoes with Water), Wheat Flour, Potato Starch, Cooking Salt, Potassium Sorbate, Lactic Acid, Aromatic Herbs, Spices, Dusted with Rice Flour);White Onion;Carrot;Celery;Chicken Breast Skinless;Chicken Meat Including Natural Juices, Salt, Cane Sugar, Maltodextrin, Flavoring, Yeast Extract, Potato Starch, Turmeric, Natural Flavor;Extra Virgin Olive Oil;Spinach;Cornstarch;Kosher Salt;Thyme;Canola Oil;Black Pepper;"
